      Time        DX           DY       
   1.96500E+02 -9.99989E-01 -4.67776E-03
   1.97000E+02 -5.06385E-01 -8.62308E-01
   1.97500E+02  9.74586E-01 -2.24015E-01
   1.98000E+02  9.22279E-01 -3.86525E-01
   1.98500E+02 -7.21758E-01 -6.92145E-01
   1.99000E+02 -9.98735E-01 -5.02847E-02
   1.99500E+02  4.12468E-02 -9.99149E-01
   2.00000E+02  9.99439E-01 -3.34942E-02
   2.00500E+02  6.71683E-01 -7.40839E-01
   2.01000E+02 -9.40352E-01 -3.40203E-01
   2.01500E+02 -9.64660E-01 -2.63499E-01
   2.02000E+02  5.70179E-01 -8.21520E-01
   2.02500E+02  9.99928E-01 -1.20247E-02
   2.03000E+02  1.86368E-01 -9.82480E-01
   2.03500E+02 -9.96079E-01 -8.84717E-02
   2.04000E+02 -7.98260E-01 -6.02314E-01
   2.04500E+02  8.80919E-01 -4.73267E-01
   2.05000E+02  9.86948E-01 -1.61042E-01
   2.05500E+02 -3.82224E-01 -9.24069E-01
   2.06000E+02 -1.00000E+00 -2.48192E-05
   2.06500E+02 -3.99819E-01 -9.16594E-01
   2.07000E+02  9.85612E-01 -1.69026E-01
   2.07500E+02  8.87284E-01 -4.61224E-01
   2.08000E+02 -7.88801E-01 -6.14649E-01
   2.08500E+02 -9.96577E-01 -8.26647E-02
   2.09000E+02  1.66909E-01 -9.85972E-01
   2.09500E+02  9.99898E-01 -1.43089E-02
   2.10000E+02  5.84878E-01 -8.11122E-01
   2.10500E+02 -9.61888E-01 -2.73445E-01
   2.11000E+02 -9.44212E-01 -3.29339E-01
   2.11500E+02  6.58828E-01 -7.52293E-01
   2.12000E+02  9.99551E-01 -2.99482E-02
   2.12500E+02  6.11347E-02 -9.98130E-01
   2.13000E+02 -9.98495E-01 -5.48461E-02
   2.13500E+02 -7.33085E-01 -6.80137E-01
   2.14000E+02  9.17383E-01 -3.98005E-01
   2.14500E+02  9.76634E-01 -2.14908E-01
   2.15000E+02 -4.90299E-01 -8.71555E-01
   2.15500E+02 -9.99994E-01 -3.41412E-03
   2.16000E+02 -2.84460E-01 -9.58688E-01
